der	Artikel	Artikel
die	Diskussion	Diskussionen
das	Jahr	Jahre
die	Zeit	Zeiten
der	Mai	Maie
die	Stadt	Städte
der	Teil	Teile
das	Berlin	-
das	Ende	Enden
das	Deutschland
der	August	Auguste
das	Band	Bänder
die	Gemeinde	Gemeinden
der	Januar	Januare
der	März	Märzen
der	Oktober	Oktober
die	Universität	Universitäten
der	September	September
der	Juni	Junis
der	April	Aprile
die	Kirche	Kirchen
der	Juli	Julis
der	Dezember	Dezember
das	Jahrhundert	Jahrhunderte
die	Geschichte	Geschichten
der	November	November
der	Verlag	Verlage
der	Platz	Plätze
der	Name	Namen
die	Seite	Seiten
der	Februar	Februare
das	Mitglied	Mitglieder
der	Film	Filme
die	Relevanz	-
die	Saison	Saisons
der	Ort	Orte
die	Art	Arten
das	München	-
der	Benutzer	Benutzer
die	Benutzerin	Benutzerinen
das	Leben	Leben
der	Sohn	Söhne
die	Familie	Familien
der	Mensch	Menschen
der	Friedrich	-
der	Titel	Titel
der	Fall	Fälle
die	Liste	Listen
die	Form	Formen
das	Wien	-
der	Karl	-
der	Hans	Hänse
der	Meter	Meter
das	Beispiel	Beispiele
der	Johann	-
die	Frage	Fragen
das	Schloss	Schlösser
die	Gruppe	Gruppen
das	Unternehmen	Unternehmen
dar	Peter	Peter
der	Anfang	Anfänge
die	Arbeit	Arbeiten
der	Bereich	Bereiche
die	Frau	Frauen
das	Bild	Bilder
der	Tod	Tode
der	Wilhelm	-
das	Land	 Länder
das	Gebiet	Gebiete
die	Bedeutung	Bedeutungen
der	König	Könige
die	Welt	Welten
die	Straße	Straßen
die	Person	Personen
der	Begriff	Begriffe
der	Name	Namen
die	Kategorie	Kategorien
die	Mitte	Mitten
der	Heinrich	-
